microsecondsSinceGpsEpoch, sunObserverDistanceCorrection, sunObserverDopplerFactor
9.43401615E14, 1.0272863112061492, 1.000008967396034
9.43401675E14, 1.0272886512398687, 1.0000097180108976
9.43401735E14, 1.0272911747865434, 1.000010432610468
9.43401795E14, 1.0272938724424605, 1.0000111081233616
9.43401855E14, 1.0272967340547803, 1.0000117416402394
9.43401914999968E14, 1.0272997487638362, 1.0000123304277326
9.43401975000032E14, 1.0273029050509837, 1.0000128719419226
9.43402035E14, 1.0273061907789105, 1.0000133638391662
9.43402095E14, 1.027309593256167, 1.000013803989544
9.43402155E14, 1.027313099283303, 1.0000141904855893
9.43402215E14, 1.0273166952118733, 1.0000145216517529
9.43402275E14, 1.0273203670035043, 1.0000147960523114
9.43402335E14, 1.027324100290796, 1.0000150124980416
9.43402395E14, 1.027327880439735, 1.000015170051635
9.43402455E14, 1.0273316926133091, 1.000015268031825
9.43402515E14, 1.0273355218359992, 1.0000153060162191
9.43402574999968E14, 1.0273393530588162, 1.000015283842839
9.43402635000032E14, 1.0273431712271246, 1.0000152016103014
9.43402695000032E14, 1.027346961335584, 1.0000150596770763
9.43402755E14, 1.0273507085083005, 1.0000148586589237
9.43402815E14, 1.027354398052637, 1.0000145994256515
9.43402875E14, 1.0273580155248498, 1.0000142830965102
9.43402935E14, 1.027361546791879, 1.0000139110345254
9.43402995E14, 1.0273649780915928, 1.000013484839785
9.43403055E14, 1.0273682960912283, 1.0000130063417374
9.43403115E14, 1.0273714879437872, 1.0000124775905557
9.43403175E14, 1.027374541342161, 1.0000119008476256
9.43403234999968E14, 1.027377444570777, 1.000011278575214
9.43403294999968E14, 1.027380186554553, 1.0000106134253737
9.43403355000032E14, 1.0273827569066603, 1.0000099082276515
9.43403415E14, 1.027385145964798, 1.000009165978548
9.43403475E14, 1.0273873448414044, 1.0000083898256098
9.43403535E14, 1.027389345453162, 1.0000075830556805
9.43403595E14, 1.0273911405558203, 1.000006749080319
9.43403655E14, 1.0273927237736509, 1.0000058914212266
9.43403715E14, 1.0273940896251945, 1.0000050136952723
9.43403775E14, 1.0273952335452161, 1.0000041195991671
9.43403835E14, 1.027396151902776, 1.0000032128938428
9.43403895E14, 1.0273968420153594, 1.000002297388587
9.43403954999968E14, 1.0273973021590017, 1.0000013769249942
9.43404015000032E14, 1.0273975315744497, 1.0000004553601771
9.43404075E14, 1.0273975304687217, 0.9999995365530062
9.43404135E14, 1.0273973000139804, 0.9999986243441713
9.43404195E14, 1.0273968423406472, 0.9999977225425045
9.43404255E14, 1.0273961605274873, 0.9999968349083582
9.43404315E14, 1.0273952585874702, 0.9999959651378211
9.43404375E14, 1.0273941414497159, 0.9999951168472305
9.43404435E14, 1.027392814937584, 0.999994293558057
9.43404495E14, 1.027391285743047, 0.9999934986822345
9.43404555E14, 1.027389561397437, 0.9999927355080112
9.43404614999968E14, 1.0273876502387231, 0.9999920071863929
9.43404675000032E14, 1.0273855613740097, 0.9999913167177967
9.43404735E14, 1.0273833046460843, 0.9999906669417041
9.43404795E14, 1.0273808905828667, 0.9999900605224878
9.43404855E14, 1.027378330358024, 0.9999894999407345
9.43404915E14, 1.0273756357422121, 0.9999889874830875
9.43404975E14, 1.0273728190533618, 0.9999885252334844
9.43405035E14, 1.0273698931048836, 0.9999881150653382
9.43405095E14, 1.0273668711520472, 0.9999877586346865
9.43405155E14, 1.0273637668367683, 0.9999874573743199
