wavelength(nm), irradiance (watts/m^2/nm)
172.99, 6.747578928425923E-4
172.995, 6.772028807850193E-4
173.0, 6.801589202510078E-4
173.005, 6.834946725203091E-4
173.01, 6.870787988726743E-4
173.015, 6.907799605878546E-4
173.02, 6.944668189456214E-4
173.025, 6.980141707614948E-4
173.03, 7.01388618646153E-4
173.035, 7.046274374931112E-4
173.04, 7.077697201324207E-4
173.045, 7.108545593941331E-4
173.05, 7.139210481083171E-4
173.055, 7.170082791049895E-4
173.06, 7.201553452142193E-4
173.065, 7.23401339266058E-4
173.07, 7.26785354090557E-4
173.075, 7.303464825177679E-4
173.08, 7.341238173777637E-4
173.085, 7.381564515005539E-4
173.09, 7.424630716951903E-4
173.095, 7.469807406866248E-4
173.1, 7.516261151787887E-4
173.105, 7.563158518756138E-4
173.11, 7.609666074810583E-4
173.115, 7.65495038699E-4
173.12, 7.698178022333973E-4
173.125, 7.738515547881822E-4
173.13, 7.77512953067286E-4
173.135, 7.807186537746401E-4
173.14, 7.833853136141768E-4
173.145, 7.85429589289837E-4
173.15, 7.867696518025631E-4
173.155, 7.873825404505499E-4
173.16, 7.873217665322183E-4
173.165, 7.866459520984807E-4
173.17, 7.854137192002495E-4
173.175, 7.836836898884257E-4
173.18, 7.815144862139419E-4
173.185, 7.789647302277019E-4
173.19, 7.760930439806178E-4
173.195, 7.729580495236023E-4
173.2, 7.696183689075675E-4
173.205, 7.661326241834056E-4
173.21, 7.62559437402069E-4
173.215, 7.589596611575038E-4
173.22, 7.554030702158882E-4
173.225, 7.519616698864534E-4
173.23, 7.487074654784306E-4
173.235, 7.457124623010354E-4
173.24, 7.43048665663533E-4
173.245, 7.407880808751375E-4
173.25, 7.390027132450796E-4
173.255, 7.377645680825912E-4
173.26, 7.371456506969029E-4
173.265, 7.372179663972468E-4
173.27, 7.380535204928611E-4
173.275, 7.39717878200121E-4
173.28, 7.42180241864669E-4
173.285, 7.453356335034294E-4
173.29, 7.49077166957668E-4
173.295, 7.532979560686506E-4
173.3, 7.578911146776701E-4
173.305, 7.627497566259398E-4
173.31, 7.677669957547505E-4
173.315, 7.728359459053682E-4
173.32, 7.778497209190588E-4
173.325, 7.827014346370879E-4
173.33, 7.87284200900747E-4
173.335, 7.91491295442511E-4
173.34, 7.952503149425242E-4
173.345, 7.985654306479286E-4
173.35, 8.014511748466482E-4
173.355, 8.039220798266073E-4
173.36, 8.059926778757398E-4
173.365, 8.076775012819468E-4
173.37, 8.089910823331643E-4
173.375, 8.099479533173169E-4
173.38, 8.10562646522328E-4
173.385, 8.108496942361217E-4
173.39, 8.10823628746622E-4
173.395, 8.104989823417499E-4
173.4, 8.098944307003025E-4
173.405, 8.090592717492147E-4
173.41, 8.080565283976761E-4
173.415, 8.0694928829536E-4
173.42, 8.058006390919378E-4
173.425, 8.046736684370761E-4
173.43, 8.036314639804604E-4
173.435, 8.027371133717564E-4
173.44, 8.020537042606362E-4
173.445, 8.016443242967728E-4
173.45, 8.015720611298379E-4
173.455, 8.019000024095074E-4
173.46, 8.026898342592452E-4
173.465, 8.039487584713036E-4
173.47, 8.056131997645877E-4
173.475, 8.076148527070604E-4
173.48, 8.098854118666853E-4
173.485, 8.1235657181144E-4
173.49, 8.149600271092594E-4
173.495, 8.176274723281202E-4
173.5, 8.202906020359856E-4
173.505, 8.228811108008191E-4
173.51, 8.25330693190584E-4
173.515, 8.275710437732432E-4
173.52, 8.295339617011707E-4
173.525, 8.3117341801952E-4
173.53, 8.324928521947087E-4
173.535, 8.335023970947462E-4
173.54, 8.342121855876418E-4
173.545, 8.346323505414051E-4
173.55, 8.347730248240453E-4
173.555, 8.346443413035707E-4
173.56, 8.342564328479917E-4
173.565, 8.336194323253183E-4
173.57, 8.327434726035595E-4
173.575, 8.316386865507248E-4
173.58, 8.303152070348156E-4
173.585, 8.287906459417914E-4
173.59, 8.271125312293311E-4
173.595, 8.253358698730554E-4
173.6, 8.235156688485845E-4
173.605, 8.217069351315399E-4
173.61, 8.199646756975324E-4
173.615, 8.183438975222027E-4
173.62, 8.168996075811617E-4
173.625, 8.156868128500298E-4
173.63, 8.147605203044279E-4
173.635, 8.141757369199769E-4
173.64, 8.139874696722972E-4
173.645, 8.142395804418475E-4
173.65, 8.148935618901262E-4
173.655, 8.15873988550901E-4
173.66, 8.171052608158271E-4
173.665, 8.185117790765604E-4
173.67, 8.200179437247559E-4
173.675, 8.215481551520784E-4
173.68, 8.230268137501648E-4
173.685, 8.243783199106803E-4
173.69, 8.255270740252794E-4
173.695, 8.263974764856184E-4
173.7, 8.269139276833521E-4
173.705, 8.27005484807821E-4
173.71, 8.266708845396524E-4
173.715, 8.259625029698512E-4
173.72, 8.249340959813254E-4
173.725, 8.236394194569843E-4
173.73, 8.221322292797363E-4
173.735, 8.204662813324809E-4
173.74, 8.186953314981459E-4
173.745, 8.168731356596315E-4
173.75, 8.150534496998455E-4
173.755, 8.132900295016976E-4
173.76, 8.116366309480964E-4
173.765, 8.101461165154648E-4
173.77, 8.088579806720565E-4
173.775, 8.078014271669929E-4
173.78, 8.070053950363392E-4
173.785, 8.06498823316169E-4
173.79, 8.063106510425557E-4
173.795, 8.064698172515722E-4
173.8, 8.070052609792966E-4
173.805, 8.079459212617959E-4
173.81, 8.093207371351457E-4
173.815, 8.11158647635419E-4
173.82, 8.134885917986895E-4
173.825, 8.163358257804358E-4
173.83, 8.1967049893022E-4
173.835, 8.234203392692125E-4
173.84, 8.275119835947601E-4
173.845, 8.318720687041916E-4
173.85, 8.364272313948362E-4
173.855, 8.411041084640231E-4
173.86, 8.45829336709108E-4
173.865, 8.505295529273654E-4
173.87, 8.551313939161517E-4
173.875, 8.595614964727956E-4
173.88, 8.637464973946264E-4
173.885, 8.676147732698269E-4
173.89, 8.711207331126912E-4
173.895, 8.742388257506999E-4
173.9, 8.769440155048682E-4
173.905, 8.792112666962654E-4
173.91, 8.810155436459418E-4
173.915, 8.82331810674948E-4
173.92, 8.831350321043347E-4
173.925, 8.834001722551522E-4
173.93, 8.831021954484479E-4
173.935, 8.822160660052746E-4
173.94, 8.807167482466839E-4
173.945, 8.785856390263316E-4
173.95, 8.759003849450153E-4
173.955, 8.728127258494581E-4
173.96, 8.694763075220232E-4
173.965, 8.660447757450226E-4
173.97, 8.62671776300784E-4
173.975, 8.595109549716354E-4
173.98, 8.56715957539905E-4
173.985, 8.544404297879093E-4
173.99, 8.528380174980031E-4
173.995, 8.520623664524999E-4
174.0, 8.522671224337276E-4
174.005, 8.535934753954286E-4
174.01, 8.559962391895443E-4
174.015, 8.592867549757874E-4
174.02, 8.632726732980174E-4
174.025, 8.677616447000232E-4
174.03, 8.72561319725661E-4
174.035, 8.774793489187662E-4
174.04, 8.823233828231738E-4
174.045, 8.869010719827192E-4
174.05, 8.910200669412596E-4
174.055, 8.944880182425823E-4
174.06, 8.971125764305471E-4
174.065, 8.987386022706806E-4
174.07, 8.994859633231932E-4
174.075, 8.995977860076463E-4
174.08, 8.993177781533137E-4
174.085, 8.988896475894757E-4
174.09, 8.985571021454067E-4
174.095, 8.985638496503832E-4
174.1, 8.991535979336805E-4
174.105, 9.005700548245747E-4
174.11, 9.030569281523592E-4
174.115, 9.068579257462823E-4
174.12, 9.122167554356309E-4
174.125, 9.192706711347149E-4
174.13, 9.277311110979812E-4
174.135, 9.372030596649106E-4
174.14, 9.472915011749838E-4
174.145, 9.576014199677406E-4
174.15, 9.677378003825423E-4
174.155, 9.773056267589288E-4
174.16, 9.859098834363806E-4
174.165, 9.931555547543788E-4
174.17, 9.98647625052404E-4
174.175, 0.0010019910786699497
174.18, 0.0010027920252687172
174.185, 0.0010008951428296892
174.19, 9.966773867630158E-4
174.195, 9.905877331035152E-4
174.2, 9.83075157886006E-4
174.205, 9.745886371452562E-4
174.21, 9.655771469161825E-4
174.215, 9.564896632335578E-4
174.22, 9.477751621322E-4
174.225, 9.39882619646928E-4
174.23, 9.332610118125594E-4
174.235, 9.283593146638911E-4
174.24, 9.256185638055281E-4
174.245, 9.251711106152037E-4
174.25, 9.267483147420075E-4
174.255, 9.300547368828656E-4
174.26, 9.347949377347028E-4
174.265, 9.406734779944451E-4
174.27, 9.473949183590582E-4
174.275, 9.546638195253902E-4
174.28, 9.621847421904024E-4
174.285, 9.696622470510203E-4
174.29, 9.7680089480417E-4
174.295, 9.833052461467766E-4
174.3, 9.889081648395606E-4
174.305, 9.935516919737863E-4
174.31, 9.9727162253954E-4
174.315, 0.001000104193762244
174.32, 0.0010020856428673201
174.325, 0.0010032522070801907
174.33, 0.0010036401236262784
174.335, 0.0010032856297310007
174.34, 0.0010022249626197846
174.345, 0.001000494359518052
174.35, 9.981300576512259E-4
174.355, 9.95168570363957E-4
174.36, 9.917049482775088E-4
174.365, 9.87964846408712E-4
174.37, 9.841915914050206E-4
174.375, 9.806285099139063E-4
174.38, 9.775189285828414E-4
174.385, 9.751061740592978E-4
174.39, 9.736335729907482E-4
174.395, 9.733444520246661E-4
174.4, 9.744821378085287E-4
174.405, 9.772899569898026E-4
