microsecondsSinceGpsEpoch, intTime (milli-seconds)
9.43401615E14, 1000.0
9.43401616E14, 1000.0
9.43401617E14, 1000.0
9.43401618E14, 1000.0
9.43401619E14, 1000.0
9.4340162E14, 1000.0
9.43401621E14, 1000.0
9.43401622E14, 1000.0
9.43401623E14, 1000.0
9.43401624E14, 1000.0
9.43401625E14, 1000.0
9.43401626E14, 1000.0
9.43401627E14, 1000.0
9.43401628E14, 1000.0
9.43401629E14, 1000.0
9.4340163E14, 1000.0
9.43401631E14, 1000.0
9.43401632E14, 1000.0
9.43401633E14, 1000.0
9.43401634E14, 1000.0
9.43401635E14, 1000.0
9.43401636E14, 1000.0
9.43401637E14, 1000.0
9.43401638E14, 1000.0
9.43401639E14, 1000.0
9.4340164E14, 1000.0
9.43401641E14, 1000.0
9.43401642E14, 1000.0
9.43401643E14, 1000.0
9.43401644E14, 1000.0
9.43401645E14, 1000.0
9.43401646E14, 1000.0
9.43401647E14, 1000.0
9.43401648E14, 1000.0
9.43401649E14, 1000.0
9.4340165E14, 1000.0
9.43401651E14, 1000.0
9.43401652E14, 1000.0
9.43401653E14, 1000.0
9.43401654E14, 1000.0
9.43401655E14, 1000.0
9.43401656E14, 1000.0
9.43401657E14, 1000.0
9.43401658E14, 1000.0
9.43401659E14, 1000.0
9.4340166E14, 1000.0
9.43401661E14, 1000.0
9.43401662E14, 1000.0
9.43401663E14, 1000.0
9.43401664E14, 1000.0
9.43401665E14, 1000.0
9.43401666E14, 1000.0
9.43401667E14, 1000.0
9.43401668E14, 1000.0
9.43401669E14, 1000.0
9.4340167E14, 1000.0
9.43401671E14, 1000.0
9.43401672E14, 1000.0
9.43401673E14, 1000.0
9.43401674E14, 1000.0
9.43401675E14, 1000.0
9.43401676E14, 1000.0
9.43401677E14, 1000.0
9.43401678E14, 1000.0
9.43401679E14, 1000.0
9.4340168E14, 1000.0
9.43401681E14, 1000.0
9.43401682E14, 1000.0
9.43401683E14, 1000.0
9.43401684E14, 1000.0
9.43401685E14, 1000.0
9.43401686E14, 1000.0
9.43401687E14, 1000.0
9.43401688E14, 1000.0
9.43401689E14, 1000.0
9.4340169E14, 1000.0
9.43401691E14, 1000.0
9.43401692E14, 1000.0
